id,hours_vs_occupation_avg,capital_gain_rank_in_education
13084,13.197935208259167,1
28374,18.197935208259167,1
33925,-1.8020647917408326,1
35414,8.197935208259167,1
35719,8.197935208259167,1
16387,0.19793520825916744,248
33320,-21.802064791740833,248
40296,18.197935208259167,254
17843,-15.802064791740833,326
38173,48.19793520825917,326
26981,18.197935208259167,333
30611,-26.802064791740833,333
41444,8.197935208259167,333
3024,18.197935208259167,392
29651,-29.802064791740833,392
36486,8.197935208259167,392
39191,8.197935208259167,392
39490,28.197935208259167,392
34038,8.197935208259167,949
44445,8.197935208259167,998
24975,-21.802064791740833,1044
31006,8.197935208259167,1044
34690,-21.802064791740833,1044
3479,18.197935208259167,1140
4238,8.197935208259167,1140
21063,28.197935208259167,1140
25421,-25.802064791740833,1140
25526,-1.8020647917408326,1140
26954,-1.8020647917408326,1140
40528,18.197935208259167,1140
20496,3.1979352082591674,1171
32285,8.197935208259167,1171
35204,28.197935208259167,1171
89,-21.802064791740833,1259
12875,18.197935208259167,1259
19875,8.197935208259167,1259
25492,18.197935208259167,1259
34499,-25.802064791740833,1259
34822,22.197935208259167,1259
36123,8.197935208259167,1259
41640,18.197935208259167,1259
2955,8.197935208259167,1691
7828,18.197935208259167,1691
10978,8.197935208259167,1691
11303,-19.802064791740833,1691
24350,52.19793520825917,1691
40667,8.197935208259167,1691
20781,28.197935208259167,2056
41602,-11.802064791740833,2098
42568,-25.802064791740833,2098
10883,6.197935208259167,2104
13123,10.197935208259167,2109
29323,8.197935208259167,2110
24258,-21.802064791740833,2135
32141,8.197935208259167,2135
46909,16.197935208259167,2163
781,8.197935208259167,2187
5181,-11.802064791740833,2187
6917,-19.802064791740833,2187
27473,-1.8020647917408326,2187
40766,8.197935208259167,2187
43799,8.197935208259167,2187
46558,8.197935208259167,2187
14605,-16.802064791740833,2335
36095,8.197935208259167,2466
38506,13.197935208259167,2491
31707,-1.8020647917408326,2530
9807,8.197935208259167,2593
36876,-6.802064791740833,2616
13330,8.197935208259167,2640
14815,67.19793520825917,2640
26623,-16.802064791740833,2640
35086,-1.8020647917408326,2777
18794,8.197935208259167,2831
46839,-11.802064791740833,2831
20017,-23.802064791740833,2849
8246,-27.802064791740833,2899
26692,-20.802064791740833,2899
34815,8.197935208259167,2899
38382,8.197935208259167,2910
41341,3.1979352082591674,2910
12021,8.197935208259167,2926
26965,3.1979352082591674,2926
18653,8.197935208259167,2948
16578,8.197935208259167,2959
24181,-11.802064791740833,2959
24338,-1.8020647917408326,2959
10318,-15.802064791740833,2992
21968,-1.8020647917408326,2998
36290,-11.802064791740833,2998
394,8.197935208259167,3002
21490,8.197935208259167,3002
40074,16.197935208259167,3002
8115,48.19793520825917,3010
17630,18.197935208259167,3010
20144,8.197935208259167,3010
46072,-16.802064791740833,3010
1241,28.197935208259167,3183
9274,8.197935208259167,3183
11987,-28.802064791740833,3183
24474,28.197935208259167,3183
42209,-11.802064791740833,3183
44910,8.197935208259167,3183
42803,-11.802064791740833,3335
7895,-17.802064791740833,3349
39012,-1.8020647917408326,3349
40261,-19.802064791740833,3349
45166,3.1979352082591674,3349
37005,-1.8020647917408326,3363
16251,-11.802064791740833,3367
41290,8.197935208259167,3371
28709,8.197935208259167,3389
32575,48.19793520825917,3389
1395,-1.8020647917408326,3461
33265,-17.802064791740833,3461
29602,8.197935208259167,3472
15140,-23.802064791740833,3517
8258,13.197935208259167,3537
4043,-15.802064791740833,3557
31192,8.197935208259167,3557
37524,-1.8020647917408326,3557
3977,8.197935208259167,3567
47343,28.197935208259167,3567
12561,8.197935208259167,3614
22296,-16.802064791740833,3622
35011,43.19793520825917,3622
5372,-4.802064791740833,3629
13071,-27.802064791740833,3629
24727,0.19793520825916744,3639
36715,-7.802064791740833,3639
17855,8.197935208259167,3672
41497,8.197935208259167,3672
1018,-7.802064791740833,3777
2023,8.197935208259167,3777
2547,-11.802064791740833,3777
37746,-11.802064791740833,3777
23195,8.197935208259167,3795
31752,8.197935208259167,3795
42134,8.197935208259167,3805
